country,year,pop,gdp
Afghanistan,1960,8996351,
Albania,1960,1608800,
Algeria,1960,11124888,27434.3992
Andorra,1960,13411,
Angola,1960,5643182,
Antigua & Barbuda,1960,55339,
Argentina,1960,20619075,115573.8685
Armenia,1960,1874120,
Australia,1960,10276477,198403.3476
Austria,1960,7047539,92232.29999
Azerbaijan,1960,3895396,
Bahamas,1960,109528,1521.943428
Bahrain,1960,162427,
Bangladesh,1960,48199747,17862.54531
Barbados,1960,230939,
Belarus,1960,8198000,
Belgium,1960,9153489,120556.6003
Belize,1960,92064,98.73554137
Benin,1960,2431622,1265.426253
Bhutan,1960,223288,
Bolivia,1960,3693449,4818.838338
Bosnia & Herzegovina,1960,3225668,
Botswana,1960,524552,205.010514
Brazil,1960,72207554,247310.6623
Brunei,1960,81745,
Bulgaria,1960,7867374,
Burkina Faso,1960,4829288,1120.811787
Burundi,1960,2786106,596.6082537
Cambodia,1960,5722370,
Cameroon,1960,5176268,4661.6076
Canada,1960,17909009,316348.4027
Cape Verde,1960,202310,
Central African Republic,1960,1503508,904.8900388
Chad,1960,3001593,2089.939952
Chile,1960,7716625,29375.69226
China,1960,667070000,127938.1396
Colombia,1960,16480383,36474.76053
Comoros,1960,191121,
Congo,1960,1037220,1483.222233
"Congo, Dem. Republic",1960,15248251,15080.23924
Cook Islands,1960,,
Costa Rica,1960,1333040,3807.870321
Cote d'Ivoire,1960,3558988,4289.508128
Croatia,1960,4140000,
Cuba,1960,7141135,
Cyprus,1960,572930,
Czech Republic,1960,9602006,
Denmark,1960,4579603,96517.87877
Djibouti,1960,83636,
Dominica,1960,60011,
Dominican Republic,1960,3294042,4204.530262
Ecuador,1960,4545550,10202.24325
Egypt,1960,26996533,17038.27841
El Salvador,1960,2762899,
Equatorial Guinea,1960,255323,
Eritrea,1960,1397491,
Estonia,1960,1211537,
Ethiopia,1960,22151278,
European Union (28),1960,405358463,2896502.747
Fiji,1960,393386,697.9476985
Finland,1960,4429634,54020.83983
France,1960,46814237,608176.2858
Gabon,1960,499184,2185.116066
Gambia,1960,367928,
Georgia,1960,3645600,
Germany,1960,72814900,
Ghana,1960,6652287,7006.635823
Greece,1960,8331725,56488.15221
Grenada,1960,89869,
Guatemala,1960,4210747,6155.11579
Guinea,1960,3577409,
Guinea-Bissau,1960,616409,
Guyana,1960,571819,954.5220471
Haiti,1960,3866159,
Honduras,1960,2038637,2234.326592
Hungary,1960,9983967,
Iceland,1960,175574,2054.31279
India,1960,449480608,136746.336
Indonesia,1960,87792515,60580.59727
Iran,1960,21906903,55008.19986
Iraq,1960,7289761,
Ireland,1960,2828600,
Israel,1960,2114020,16491.94611
Italy,1960,50199700,545555.4542
Jamaica,1960,1628252,
Japan,1960,92500572,796213.2037
Jordan,1960,932257,
Kazakhstan,1960,9714260,
Kenya,1960,8105440,4364.317378
Kiribati,1960,41233,
Korea (North),1960,11424176,
Korea (South),1960,25012374,23618.99588
Kuwait,1960,269618,
Kyrgyzstan,1960,2172300,
Laos,1960,2120896,
Latvia,1960,2120979,
Lebanon,1960,1804926,
Lesotho,1960,851591,219.0541554
Liberia,1960,1120313,1426.700788
Libya,1960,1448417,
Liechtenstein,1960,16495,
Lithuania,1960,2778550,
Luxembourg,1960,313970,8504.063017
"Macedonia, FYR",1960,1488667,
Madagascar,1960,5099373,3651.56805
Malawi,1960,3618595,872.7547616
Malaysia,1960,8157106,11490.47465
Maldives,1960,89887,
Mali,1960,5263733,
Malta,1960,326550,
Marshall Islands,1960,14662,
Mauritania,1960,858168,678.8841396
Mauritius,1960,659351,
Mexico,1960,38174112,140724.8561
Micronesia,1960,44537,
Moldova,1960,2544000,
Mongolia,1960,955505,
Montenegro,1960,480579,
Morocco,1960,12328532,
Mozambique,1960,7388695,
Myanmar,1960,20986123,3333.228175
Namibia,1960,602544,
Nauru,1960,4433,
Nepal,1960,10063011,2687.564645
Netherlands,1960,11486631,187858.5665
New Zealand,1960,2371800,
Nicaragua,1960,1774699,2711.155752
Niger,1960,3388764,2074.788352
Nigeria,1960,45137812,58676.86479
Niue,1960,,
Norway,1960,3581239,83002.22283
Oman,1960,551740,
Pakistan,1960,44908293,13684.03686
Palau,1960,9642,
Panama,1960,1132921,2401.092802
Papua New Guinea,1960,2010677,1553.924785
Paraguay,1960,1902875,1951.429898
Peru,1960,10061515,27007.51681
Philippines,1960,26273025,27831.92798
Poland,1960,29637450,
Portugal,1960,8857716,39913.31551
Qatar,1960,47384,
Romania,1960,18406905,
Russian Federation,1960,119897000,
Rwanda,1960,2933428,972.8550683
Saint Kitts & Nevis,1960,51195,
Saint Lucia,1960,89897,
Saint Vincent & Grenadines,1960,80949,141.8607405
Samoa,1960,108646,
Sao Tome & Principe,1960,64253,
Saudi Arabia,1960,4086539,
Senegal,1960,3206749,3461.220772
Serbia,1960,,
Seychelles,1960,41700,117.9960155
Sierra Leone,1960,2297110,864.3355699
Singapore,1960,1646400,5580.564723
Slovakia,1960,4068095,
Slovenia,1960,1584720,
Solomon Islands,1960,117866,
Somalia,1960,2755947,
South Africa,1960,17396367,79042.3701
Spain,1960,30455000,224147.5036
Sri Lanka,1960,9896000,
Sudan,1960,7544491,9321.521196
Suriname,1960,289966,
Swaziland,1960,349174,
Sweden,1960,7484656,135793.1848
Switzerland,1960,5327827,
Syria,1960,4573512,
Tajikistan,1960,2087038,
Tanzania,1960,10074507,
Thailand,1960,27397175,15639.87022
Togo,1960,1580513,551.6773586
Tonga,1960,61601,
Trinidad & Tobago,1960,848479,4275.559985
Tunisia,1960,4176266,
Turkey,1960,27472331,87223.08843
Turkmenistan,1960,1603258,
Tuvalu,1960,6104,
Uganda,1960,6788214,
Ukraine,1960,42662149,
United Arab Emirates,1960,92634,
United Kingdom,1960,52400000,726738.6022
United States of America,1960,180671000,3078071.08
Uruguay,1960,2538651,13898.15342
Uzbekistan,1960,8549493,
Vanuatu,1960,63699,
Venezuela,1960,8146847,101424.167
Vietnam,1960,34743000,
World,1960,3034193297,11193538.94
Yemen,1960,5172135,
Zambia,1960,3044846,4592.975694
Zimbabwe,1960,3747369,3349.805801
Afghanistan,1961,9166764,
Albania,1961,1659800,
Algeria,1961,11404859,23701.82811
Andorra,1961,14375,
Angola,1961,5753024,
Antigua & Barbuda,1961,56144,
Argentina,1961,20953077,121847.0365
Armenia,1961,1941491,
Australia,1961,10483000,203313.7613
Austria,1961,7086299,97340.10569
Azerbaijan,1961,4030320,
Bahamas,1961,115108,1684.290616
Bahrain,1961,167894,
Bangladesh,1961,49592802,18944.68703
Barbados,1961,231678,
Belarus,1961,8271216,
